Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.000325476272026747
2,5935777.51725477
3,5935777.5381099
4,6031355.87245606
5,6031355.88604901
6,6238717.06973185
7,6238717.30299913
8,6516678.03120902
9,6516678.22495215
10,7551006.02087042
11,7551006.0456162
12,7687151.18431122
13,7687151.20869297
14,8114806.44526572
15,8114806.93333623
16,8604036.42549336
17,8604037.14709949
18,8983556.05537301
19,8984571.13522448
20,8988406.79557062
21,8997456.69550587
22,9013990.411017
23,9038963.35512638
24,9070076.96529155
25,9099167.10835088
26,9228997.73876436
27,9229071.05197676
28,9486139.31517737
29,9486147.46926258
30,9489832.04844609
31,9543519.14154674
32,9633763.05729388
33,9660821.38109211
34,9666911.44734273
35,9677624.84162295
36,9694036.29214635
37,9717703.09681344
38,9749722.3154233
39,9762134.16661801
40,9763032.84683402
41,9763032.92959653
42,9788063.4295734
43,9805187.85403463
44,9806821.25910907
45,9810223.56897911
46,9816447.30021062
47,9823256.1496288
48,9826771.73596328
49,9841891.12180467
50,9860317.95100373
51,9876813.1498431
52,9930016.34515506
53,10070603.1515122
54,10082475.9621981
55,10160329.5384886
56,10273224.1847597
57,10273224.4592779
58,10411904.4671787
59,10438869.6862415
60,10477204.9920961
61,10544488.0990508
62,10646625.4125092
63,10702028.1267213
64,10771378.8571648
65,10771730.5866898
66,10777406.0124259
67,10786889.7179329
68,10792969.559183
69,10803420.1009832
70,10828709.4796665
71,10862951.3629086
72,10903121.0662959
73,10906385.504132
74,10906447.5998562
75,10941822.4375907
76,10969411.1915387
77,10995584.7186246
78,11015350.002261
79,11260877.3589148
80,11369621.4775811
81,11544186.9832894
82,11693922.691388
83,11697563.4775698
84,11740243.4781551
85,11766664.0984808
86,11786339.6004309
87,11904953.6840261
88,11923425.7174859
89,11925983.7737968
90,11933305.6318812
91,11957215.884749
92,11992256.3639221
93,12035307.4956678
94,12035794.1741201
95,12037915.0698595
96,12052867.4759578
97,12085214.550423
98,12096408.5199479
99,12102834.7218914
100,12103416.4509605
101,12106086.0763821
102,12132687.023167
103,12137743.5878712
104,12144353.2525582
105,12145973.9805389
106,12152324.1481082
107,12177403.7008106
108,12180147.757937
109,12205025.3736057
110,12281884.853774
111,12296707.273185
112,12309128.8826622
113,12387980.4785019
114,12398722.939467
115,12416555.8972537
116,12493235.3174948
117,12522998.9003257
118,12527888.8750923
119,12547084.4380507
120,12609577.260823
121,12663368.7444306
122,12693400.5396458
123,12998957.2749347
124,13277475.9834168
125,13328243.0169392
126,13669333.0338968
127,13849009.7036632
128,14063311.0388907
129,14063322.2811617
130,14097401.3116407
131,14302679.7555343
132,14456953.1108945
133,14607794.4240884
134,14674412.4815124
135,14779793.4018413
136,14815207.9855014
137,14826821.3155792
138,14871860.5425323
139,14876568.9517391
140,14964925.0967637
141,15078042.1929279
142,15175287.8229523
143,15237896.6941777
144,15244654.2190003
145,15305449.8057781
146,15330209.3043232
147,15395725.2215918
148,15399783.293837
149,15428853.6956063
150,15534894.579481
151,15558230.7695424
152,15628279.4260815
153,15650728.6330519
154,15684026.7893637
155,15703824.4134811
156,15758692.1346438
157,15787620.899489
158,15877229.7587035
159,15882497.4459701
160,15893287.983108
161,15898016.8052796
162,16024667.4089145
163,16141313.1546652
164,16142810.0017579
165,16186162.5011001
166,16435800.8549942
167,16495941.6238696
168,16622842.7748512
169,16722345.8568519
170,16873313.788089
171,16994199.7828306
172,17164572.3757186
173,17220317.5592474
174,17232191.378688
175,17297571.7422296
176,17387922.0151277
177,17414421.5977557
178,17417979.0511781
179,17496448.4132934
180,17554339.7625092
181,17589957.1584236
182,17590267.2116241
183,17594249.027079
184,17601302.2383499
185,17613511.7811269
186,17614126.3990764
187,17719015.8510438
188,17785271.7452882
189,17817365.5569215
190,17845826.9418011
191,18163756.8315996
192,18523819.9675259
193,18698547.862177
194,18732279.5743122
195,18764287.3994109
196,18785522.0053252
197,18797374.9589471
198,18803495.2463442
199,18806010.7051665
200,18806065.0544718
201,18893240.439155
202,19237255.203357
203,19244800.6352584
204,19244800.7321422
205,19493296.4524872
206,19575755.9356404
207,19849683.8216425
208,19849709.4338255
209,20300340.3251527
210,20390832.7668154
211,20555486.3814737
212,20609535.5564284
213,20611385.7100174
214,20800646.7470345
215,20994918.0474432
216,21036772.6990309
217,21100963.9229966
218,21352235.8980058
219,21424021.26288
220,21453050.8396143
221,21476492.5713768
222,21795054.798049
223,21856853.429716
224,21958176.12944
225,22105383.2357091
226,22265873.0303734
227,22367856.2633437
228,22555513.723832
229,22594714.2767438
230,22595891.2467748
231,22673391.2174445
232,22711877.759012
233,22746120.8523844
234,22746138.3981113
235,22783048.2939397
236,22899402.8708116
237,22996507.1891933
238,23071671.651826
239,23189063.6101816
240,23236884.2951416
241,24092997.0098452
242,24094661.4177462
243,24274732.978391
244,24304160.867589
245,24612547.6975694
246,25221309.1334854
247,25703649.242596
248,26003096.6706563
249,26027482.6097951
250,26071910.7453234
251,26199298.7101574
252,26216104.0026697
253,26216127.0429838
254,26310797.9266654
255,26517831.8420057
256,26569775.0484345
257,26684303.2369512
258,26817350.3316353
259,26914682.123611
260,27031134.1394893
261,27042491.1031938
262,27281300.4935413
263,27307349.9208127
264,27477600.693243
265,27579800.484706
266,27737744.2916732
267,27899912.0657673
268,27969092.0564402
269,28108509.1606695
270,28271440.306103
271,28332683.0522125
272,28489728.6458894
273,28552985.4873198
274,28556367.2712213
275,28581654.8048909
276,28817759.2873241
277,29049228.137081
278,29123066.7839433
279,29335475.5161383
280,29456753.171708
281,29529177.3284733
282,29677183.1277125
283,29689250.2558724
284,29793761.0935021
285,29796255.2065967
286,29808961.5190227
287,29831261.0867526
288,29833515.9523129
289,29881914.5421519
290,30307224.269786
291,30377447.2275094
292,31162931.7126013
293,31245918.3286642
294,31285655.5691644
295,31775854.9298635
296,32390075.4472071
297,32441500.3472448
298,32748059.8826171
299,32816891.0321509
300,32932388.8010823
301,33084649.9865694
302,33093201.181092
303,33120924.8548679
304,33281249.4666641
305,33313933.4394746
306,33480631.0826373
307,33887574.686036
308,33920968.2115373
309,34179745.6333416
310,34590415.6274339
311,34730159.0017918
312,34811032.9764655
313,34905349.2172106
314,35303959.8294755
315,35483104.1093092
316,35783645.0146069
317,35820927.4075466
318,36077291.2891455
319,36253370.6145041
320,36256531.8300726
321,36261036.6406137
322,36400938.1261817
323,37247532.1353117
324,37764653.2718757
325,37982459.9330414
326,38082152.0592655
327,38238016.5119809
328,38313566.8468847
329,38757404.5072519
330,39025863.8624731
331,39334727.5506194
332,39573874.2260921
333,39771687.8340335
334,40231166.2589497
335,40482350.502434
336,40500611.8861655
337,40674836.4515159
338,40892119.7442135
339,40972172.7662716
340,41029392.177627
341,41043905.5522469
342,41523670.9837297
343,41854431.0440896
344,42490503.6525411
345,42762430.1699938
346,42842017.9603381
347,42864652.7000641
348,43366403.047779
349,43710803.1191885
350,44017586.7797115
351,44155979.1762803
352,44254489.353107
353,44511877.3307189
354,44854592.7478383
355,46266117.8466946
356,46838862.8015506
357,46861486.9680542
358,46872174.4659283
359,47234933.6381436
360,47741849.3495736
361,48205527.114254
362,48793434.6850694
363,49340572.5446021
364,49574203.4723558
365,49616833.7666355
366,49747969.4010263
367,49897589.2038838
368,50416945.1235729
369,50980494.9548803
370,51075304.7156046
371,51300576.1045078
372,51484331.804955
373,51800353.5089113
374,52745326.0047516
375,52786843.3653742
376,53052478.2388732
377,53423507.4436653
378,53914634.0914242
379,53941641.1344898
380,53954546.5584865
381,54372779.3224463
382,54696583.9929104
383,54738908.0327649
384,54747258.6180744
385,54757809.7776821
386,55163842.3021935
387,55269308.1787013
388,55303596.6507206
389,55624132.1794008
390,56576000.6701523
391,57345155.6198387
392,57412419.3018005
393,57516718.4913102
394,57613200.3910406
395,57696577.7005427
396,57699646.290865
397,57945615.7996481
398,57963071.8202476
399,58153641.3115341
400,58381049.3879266
401,58383819.7654678
402,58823679.6949308
403,58874295.2370534
404,59051048.4214555
405,59378082.9307765
406,59428796.6933462
407,59442827.9328652
408,59512742.9578895
409,59573362.5752937
410,59712300.1020665
411,59849966.868
412,60336626.2741073
413,61198126.6874576
414,61884018.8003042
415,62034801.349208
416,62710673.1939443
417,63319476.6203248
418,63700266.4205826
419,64355463.7088243
420,65027908.3206735
421,65283322.7552238
422,65716529.5300016
423,65883213.6383577
424,66388543.2933114
425,67161454.2976973
426,68088880.5655049
427,68794066.559631
428,69177969.4810572
429,70219379.5817664
430,70541725.3496648
431,72576067.4757805
432,73041477.2423395
433,74490912.7537614
434,74856202.5227882
435,75774668.3921361
436,76342760.2483852
437,78651742.5986252
438,79033080.9443608
439,79607050.9684671
440,80319685.1533631
441,81172626.0745805
442,81319070.0107068
443,81781506.0677806
444,83624330.9480524
445,83831274.973459
446,86041635.2451641
447,86181608.9160971
448,87751586.2620512
449,88667254.0237645
450,89409715.7588546
451,91573605.9884531
452,93289471.8887247
453,94676056.1460594
454,94943360.298135
455,95358564.1513945
456,96086185.1509332
457,96642805.7266785
458,97424746.0170348
459,100608876.404396
460,102264168.042677
461,102306122.134714
462,103513872.553739
463,103777557.332789
464,103952098.937928
465,109435150.891917
466,111652462.75982
467,112446737.649156
468,113327418.323538
469,115663239.819684
470,120241289.763406
471,120536972.23588
472,123210453.484369
473,123638053.310374
474,123900870.18792
475,124582908.831252
476,128707105.478786
477,131999334.681242
478,133371432.961767
479,135889289.672551
480,136254264.134869
481,142148509.24037
482,142190213.122128
483,143964221.113905
484,145422003.941972
485,145978531.03111
486,146046880.714854
487,148929943.346538
488,153205540.335917
489,154055250.388864
490,158299928.666719
491,158587099.62601
492,159169410.300135
493,173543467.65066
494,177834593.844341
495,188302558.890972
496,200787477.393699
497,201300364.971842
498,211441469.185607
499,217882093.95969
500,225152275.644283
501,248730715.010355
502,269493400.297148
