Eigenvalue_Index,Algebraic_Eigenvalue
1,-0.00032581761529899
2,4533637.93664571
3,4533637.95240874
4,4632999.73230042
5,4632999.7504977
6,4842903.44879749
7,4842903.67518845
8,5140762.39304413
9,5140762.56848039
10,5987911.90773265
11,5987911.96687527
12,6188255.71719197
13,6188255.74594864
14,6502738.58331304
15,6502738.61133944
16,6630166.75713124
17,6630166.78028765
18,6868568.65280989
19,6868569.78357966
20,7090091.49863863
21,7100618.08919973
22,7117607.50546968
23,7140444.25017074
24,7168473.50924832
25,7200984.47230882
26,7236783.71055869
27,7271253.69753319
28,7319665.8907901
29,7320005.43867704
30,7339429.43393259
31,7339438.85452852
32,7373969.11528711
33,7390849.67820192
34,7391384.2476102
35,7393003.94551489
36,7396299.17201278
37,7402033.70585513
38,7409275.65914999
39,7416809.69474965
40,7419083.79479796
41,7419808.97464415
42,7458474.56628986
43,7459914.47278353
44,7467653.66868914
45,7472575.02689278
46,7472834.8393389
47,7477629.79826191
48,7487455.57791609
49,7495080.72624384
50,7496101.6951796
51,7500025.20848038
52,7502686.25930513
53,7504536.95787477
54,7505038.90183976
55,7608375.08163976
56,7761516.42097285
57,7912157.5612336
58,7942779.37003616
59,7963543.10243357
60,7997415.55045678
61,8081620.38332619
62,8203315.89635028
63,8223427.04398485
64,8372188.54091023
65,8469031.94955633
66,8536963.92594936
67,8544683.58983042
68,8596371.03263151
69,8597143.51245811
70,8600096.12446329
71,8615570.45836058
72,8624155.67985709
73,8646924.31570705
74,8650832.5825098
75,8682058.47337426
76,8683470.48102116
77,8869549.48732828
78,8901609.07598156
79,9047500.56541045
80,9069070.63198124
81,9112688.40758457
82,9137048.39990676
83,9153819.23599655
84,9174520.18191494
85,9236503.96533063
86,9285625.80885813
87,9341700.545777
88,9408868.41320319
89,9410632.49980992
90,9412466.43638916
91,9421932.94846127
92,9433507.33157981
93,9441822.26854857
94,9442600.34176805
95,9472497.49008778
96,9492163.6322425
97,9509327.7889596
98,9532591.64166582
99,9573762.90004006
100,9602033.94410407
101,9605649.64092468
102,9616123.89153758
103,9616248.52520484
104,9636788.84042407
105,9640253.35479262
106,9658402.04320573
107,9675531.92036887
108,9685005.90526105
109,9762044.23054538
110,9824514.49611068
111,9873958.12619004
112,9953831.69820773
113,9989310.20769084
114,10023578.1437875
115,10069279.5252435
116,10087861.8259963
117,10160571.4259072
118,10204568.1863241
119,10214401.986395
120,10613772.55717
121,10759425.4046679
122,10821824.9201143
123,10821824.9761006
124,10877753.1747255
125,10942130.0090923
126,10952842.3235728
127,11072138.3219809
128,11073687.940486
129,11158859.0110767
130,11175710.7628961
131,11234396.7341463
132,11302643.4187175
133,11308401.0773917
134,11335118.1903933
135,11374218.5021573
136,11426348.8938983
137,11460242.9311054
138,11831250.5894496
139,11831465.4943502
140,11890340.6484286
141,11896796.6822841
142,12413081.149055
143,12515069.1136946
144,12568645.0927165
145,12595061.6885672
146,12600447.61819
147,12623223.342792
148,12651550.1956597
149,12702272.7630421
150,12745374.7146658
151,12779565.2974176
152,12794590.4205081
153,12819994.6878261
154,12973678.7706266
155,13081136.6523295
156,13106578.9274592
157,13120194.9789474
158,13152714.0824303
159,13154384.0030275
160,13213855.2884305
161,13216977.0177026
162,13312024.6299187
163,13326455.5150666
164,13438591.545692
165,13654817.0063341
166,13670877.9303259
167,13810712.8599775
168,13844864.1721053
169,14001116.4147611
170,14034431.8220315
171,14101182.4321545
172,14180291.8440625
173,14193140.0376288
174,14315197.2044172
175,14352698.5317018
176,14353916.8582606
177,14391859.7493587
178,14398246.7708601
179,14436275.2903572
180,14439900.3528303
181,14544109.7908811
182,14626216.7275945
183,14692689.7873869
184,14776932.1536461
185,14781260.2875093
186,14790960.2331289
187,14812425.2528194
188,14813090.0499379
189,14815540.8500751
190,14844586.667254
191,15125868.0178044
192,15125937.2677411
193,16262645.1503807
194,16965818.7771536
195,16965822.5484756
196,17458152.5804525
197,17458152.8666484
198,17818555.6590827
199,17818557.9961252
200,17952910.8673407
201,18545365.9274444
202,18545381.2922068
203,18624346.4239978
204,18660793.2480246
205,18696054.2083429
206,18721390.955303
207,18737865.4322682
208,18748546.916851
209,18755520.122235
210,18759643.5417291
211,19129305.7425282
212,19129322.4754471
213,19241098.5921633
214,19298069.8012933
215,19398123.7885121
216,19531843.8716829
217,19674828.4783832
218,19697779.0105025
219,19850665.0314774
220,20132161.27117
221,20467706.1635724
222,20467826.8219322
223,20548988.1441329
224,20928021.2343042
225,21025217.7446614
226,21111651.1620762
227,21291376.4183168
228,21649786.5939592
229,21707571.6206384
230,21721657.5206105
231,21774468.3049686
232,21794701.5745448
233,21801831.8957945
234,21822630.7676947
235,21868826.6007009
236,21889582.0425686
237,21975864.7988927
238,22091561.6504273
239,22247704.2510325
240,22317857.555146
241,22648737.0338038
242,22678480.0086226
243,22716288.1901331
244,22731041.1956622
245,22884703.6105915
246,23052127.907342
247,23097567.777531
248,23104422.707688
249,23385257.6391937
250,23680304.4092524
251,23907557.9441645
252,23944516.867435
253,24215539.3863915
254,24232196.7766843
255,24687887.8867106
256,24998222.133665
257,25019443.8535013
258,25382379.2999703
259,25882678.0478516
260,25925891.9145481
261,25996240.6857701
262,25996462.7564878
263,26073699.1135148
264,26073736.0825898
265,26424683.7085219
266,26573581.0282751
267,26837404.7926191
268,26998660.5303351
269,27083526.926827
270,27163224.6939489
271,27203574.2227163
272,27232040.1320467
273,27254815.1412588
274,27338650.5036431
275,27340902.0176503
276,27568690.6153823
277,27586156.833856
278,27854358.5238243
279,28200453.0472332
280,28236331.6246685
281,28239666.091063
282,28269852.4584238
283,28578383.4454683
284,28828542.1545175
285,28828583.5144803
286,28877969.3571995
287,28923887.7637806
288,29125945.4133387
289,29272673.0690818
290,29300719.8250678
291,29327382.3816389
292,29467930.7398543
293,29586341.956127
294,29614278.9551029
295,29698593.8619226
296,29708529.7326999
297,29751960.6804115
298,29757654.9095109
299,29758797.8742561
300,30227161.0037391
301,30415870.751156
302,30921100.3334962
303,31095392.301078
304,31138697.6881987
305,31179504.8760216
306,31194047.1338204
307,31195854.9262339
308,31459871.2927087
309,31469994.2575567
310,31470767.0274879
311,31717745.0830142
312,32302443.5816783
313,32559360.9608606
314,32920933.4022247
315,33144824.3968111
316,33628214.8739341
317,34555810.8326625
318,34959837.7032495
319,35347182.3047304
320,35375102.6418718
321,35686710.3396575
322,35721890.8610821
323,35769193.8472892
324,36038879.5377393
325,36088928.6924631
326,37454872.1227427
327,37742962.5666967
328,37782642.2333987
329,37881220.1701384
330,38187787.1367172
331,38218491.8220854
332,38645386.2283257
333,38669377.4347773
334,38861158.3050523
335,39329640.9766653
336,39758427.8395306
337,39998196.5017895
338,40044484.9473321
339,40242631.6307276
340,40479756.4972249
341,40649165.4758731
342,40819230.7427134
343,40921188.6269272
344,41084014.0213945
345,41491660.0108556
346,41615455.1157005
347,42225201.342386
348,42231524.1895473
349,42232015.4563467
350,42635596.9615062
351,42710326.2439595
352,43279799.5827009
353,43565427.2342133
354,43865506.4025299
355,44134988.3217757
356,44151320.0280635
357,44581442.6655345
358,44986180.4993559
359,45459063.5902739
360,46369642.2237464
361,46541734.9479053
362,46705011.265703
